#序號 古韻 有女 Baxter
957 king kiong king
958 tring tiong tring
959 zing dziong dzing
960 nging ngiong nging
961 hing xiong xing
962 chjing tcong tsyhing
963 ging giong ging
964 sring shong sring
965 khing qiong khing
966 thring thiong trhing
967 zring drong dzring
968 phing phiong phing
969 tong tong tong
970 long long long
971 song song song
972 pong pong pong
973 cong zong tsong
974 mong mong mong
975 zong dzong dzong
976 bong bong bong
977 ghuong huong hwong
978 kuong kuong kwong
979 huong xuong xwong
980 nong nong nong
981 dong dong dong
982 ghong hong hong
983 kong kong kong
984 thong thong thong
985 phong phong phong
986 iu hiou hjuw
987 qiu iou 'juw
988 liu liou ljuw
989 chiu ciou tshjuw
990 ju jou yuw
991 ngiu ngiou ngjuw
992 ciu ziou tsjuw
993 ziu dziou dzjuw
994 siu siou sjuw
995 thriu thiou trhjuw
996 khiu qiou khjuw
997 chju tcou tsyhuw
998 cju tjou tsyuw
999 zju zjou dzyuw
1000 nju rou nyuw
1001 sju sjou syuw
1002 khiu qiou khjuw
1003 phiu phiou phjuw
1004 kiu kiou kjuw
1005 piu piou pjuw
1006 sriu shou srjuw
1007 chriu chou tsrhjuw
1008 criu trou tsrjuw
1009 zriu drou dzrjuw
1010 hiu xiou xjuw
1011 zsiu sziou zjuw
1012 driu diou drjuw
1013 triu tiou trjuw
1014 giu giou gjuw
1015 biu biou bjuw
1016 miu miou mjuw
1017 ghu hou huw
1018 qu ou 'uw
1019 nu nou nuw
1020 lu lou luw
1021 su sou suw
1022 khu qou khuw
1023 hu xou xuw
1024 cu zou tsuw
1025 thu thou thuw
1026 du dou duw
1027 ngu ngou nguw
1028 ku kou kuw
1029 tu tou tuw
1030 zu dzou dzuw
1031 bu bou buw
1032 chu cou tshuw
1033 mu mou muw
1034 qy yu 'jiw
1035 gy gyu gjiw
1036 py pyu pjiw
1037 ly lyu ljiw
1038 ky kyu kjiw
1039 by byu bjiw
1040 cy zyu tsjiw
1041 sry shyu srjiw
1042 ngy ngyu ngjiw
1043 hy xyu xjiw
1044 my myu mjiw
1045 chim cim tshim
1046 zsim szim zim
1047 lim lim lim
1048 thrim thym trhim
1049 cjim tjim tsyim
1050 drim dym drim
1051 trim tym trim
1052 zjim zjim dzyim
1053 njim rim nyim
1054 sjim sjim syim
1055 jim jim yim
1056 sim sim sim
1057 qjim im 'jim
1058 cim zim tsim
1059 zim dzim dzim
1060 nrim nym nrim
1061 gim gym gim
1062 khim qym khim
1063 ngim ngym ngim
1064 him xym xim
1065 kim kym kim
1066 qim ym 'im
1067 srim shym srim
1068 zrim drym dzrim
1069 crim trym tsrim
1070 chrim chym tsrhim
1071 chjim tcim tsyhim
1072 dom dom dom
1073 chom com tshom
1074 nom nom nom
1075 qom om 'om
1076 ghom hom hom
1077 lom lom lom
1078 zom dzom dzom
1079 com zom tsom
1080 thom thom thom
1081 tom tom tom
1082 khom qom khom
1083 hom xom xom
1084 som som som
1085 kom kom kom
1086 ngom ngom ngom
1087 dam dam dam
1088 kam kam kam
1089 tam tam tam
1090 sam sam sam
1091 lam lam lam
1092 kham qam kham
1093 tham tham tham
1094 zam dzam dzam
1095 gham ham ham
1096 mam mam mam
1097 zam dzam dzam
1098 ham xam xam
1099 jem jem yem
1100 liem liem ljem
1101 piem pyem pjem
1102 siem siem sjem
1103 chiem ciem tshjem
1104 cjem tjem tsyem
1105 zjem zjem dzyem
1106 sjem sjem syem
1107 chjem tcem tsyhem
1108 njem rem nyem
1109 nriem nyem nrjem
1110 iem hyem hjem
1111 triem tyem trjem
1112 thriem thyem trhjem
1113 qiem yem 'jem
1114 khiem qyem khjem
1115 ngiem ngyem ngjem
1116 ciem ziem tsjem
1117 ziem dziem dzjem
1118 giem gyem gjem
1119 qjem iem 'jiem
1120 zsiem sziem zjem
1121 sriem shem srjem
1122 driem dyem drjem
1123 gjem giem gjiem
1124 them them them
1125 tem tem tem
1126 dem dem dem
1127 lem lem lem
1128 khem qem khem
1129 kem kem kem
1130 ghem hem hem
1131 nem nem nem
1132 hem xem xem
1133 ghrem haem heam
1134 krem kaem keam
1135 srem shaem sream
1136 qrem aem 'eam
1137 ngrem ngaem ngeam
1138 hrem xaem xeam
1139 trem taem tream
1140 nrem naem nream
1141 zrem draem dzream
1142 khrem qaem kheam
1143 ghram heam haem
1144 zram dram dzraem
1145 ngram ngeam ngaem
1146 chram cham tsrhaem
1147 sram sham sraem
1148 kram keam kaem
1149 bram beam baem
1150 khram qeam khaem
1151 ngiam ngiam ngjaem
1152 hiam xiam xjaem
1153 qiam iam 'jaem
1154 khiam qiam khjaem
1155 byam bvam bjom
1156 phyam phvam phjom
1157 tungx tunk tuwngX
1158 mungx munk muwngX
1159 khungx qunk khuwngX
1160 sungx sunk suwngX
1161 thungx thunk thuwngX
1162 cungx zunk tsuwngX
1163 ghungx hunk huwngX
1164 qungx unk 'uwngX
1165 nungx nunk nuwngX
1166 pungx punk puwngX
1167 lungx lunk luwngX
1168 hungx xunk xuwngX
1169 dungx dunk duwngX
1170 bungx bunk buwngX
1171 cjyungx tjvnk tsyowngX
1172 thryungx thivnk trhjowngX
1173 lyungx livnk ljowngX
1174 qyungx ivnk 'jowngX
1175 njyungx rvnk nyowngX
1176 dryungx divnk drjowngX
1177 tryungx tivnk trjowngX
1178 byungx bivnk bjowngX
1179 phyungx phivnk phjowngX
1180 jyungx jvnk yowngX
1181 khyungx qivnk khjowngX
1182 zjyungx zjvnk dzyowngX
1183 kyungx kivnk kjowngX
1184 syungx sivnk sjowngX
1185 hyungx xivnk xjowngX
1186 pyungx pivnk pjowngX
1187 tuungx tvnk towngX
1188 muungx mvnk mowngX
1189 gyungx givnk gjowngX
1190 chjyungx tcvnk tsyhowngX
1191 cjyungx tjvnk tsyowngX
1192 cyungx zivnk tsjowngX
1193 krungx keonk kaewngX
1194 brungx beonk baewngX
1195 qrungx eonk 'aewngX
1196 mrungx meonk maewngX
1197 ghrungx heonk haewngX
1198 prungx peonk paewngX
1199 hrungx xeonk xaewngX
1200 cjex tjee tsyeX
1201 zjex zjee dzyeX
1202 miex myee mjeX
1203 piex pyee pjeX
1204 biex byee bjeX
1205 hyex xwee xjweX
1206 qyex wee 'jweX
