#小韻序 字 聲調 韻部 聲紐 韻母 四呼
430 弩努 上 魚模 泥 魚模合 合口
431 許詡 上 魚模 曉 魚模撮 撮口
432 苦 上 魚模 溪 魚模合 合口
433 咀 上 魚模 精 魚模撮 撮口
434 女 上 魚模 泥 魚模撮 撮口
435 嶼 上 魚模 心 魚模撮 撮口
436 傴去 上 魚模 溪 魚模撮 撮口
437 谷穀轂骨 入上 魚模 見 魚模合 合口
438 蔌縮謖速 入上 魚模 心 魚模合 合口
439 復福幅蝠腹覆拂 入上 魚模 非 魚模合 合口
440 卜不 入上 魚模 幫 魚模合 合口
441 菊踘局 入上 魚模 見 魚模撮 撮口
442 笏忽 入上 魚模 曉 魚模合 合口
443 築燭粥竹 入上 魚模 照 魚模合 合口
444 粟宿 入上 魚模 心 魚模撮 撮口
445 曲麯屈 入上 魚模 溪 魚模撮 撮口
446 哭窟酷 入上 魚模 溪 魚模合 合口
447 出黜畜 入上 魚模 穿 魚模撮 撮口
448 叔菽 入上 魚模 審 魚模撮 撮口
449 督篤 入上 魚模 端 魚模合 合口
450 暴撲 入上 魚模 滂 魚模合 合口
451 觸束 入上 魚模 穿 魚模合 合口
452 簇 入上 魚模 清 魚模合 合口
453 足 入上 魚模 精 魚模撮 撮口
454 促 入上 魚模 清 魚模撮 撮口
455 禿 入上 魚模 透 魚模合 合口
456 卒蹙 入上 魚模 精 魚模合 合口
457 屋沃兀 入上 魚模 影 魚模合 合口
458 御馭遇嫗裕諭芋譽預豫 去 魚模 影 魚模撮 撮口
459 慮濾屢 去 魚模 來 魚模撮 撮口
