#index 平小韻 上小韻 去小韻 入小韻 重上歸于去 file_name 增補小韻
1 1 670 1237 1920 FALSE tung.m4a 
2 2 671 1238 1897 FALSE thung.m4a 
3 3 672 1239 1898 TRUE dung.m4a 
4 4 673 1240 1899 FALSE lung.m4a 
5 5 ? ? ? FALSE lyung.m4a 4
6 6 2266 ? 1891 TRUE bung.m4a 
7 7 675 1246 1892 FALSE mung.m4a 
8 8 ? 1234 1895 FALSE tshung.m4a 
9 9 676 1235 ? FALSE tzung.m4a 
10 10 691 1236 1902 FALSE tzyung.m4a 1918
11 11 ? ? 1896 TRUE dzung.m4a 
12 12 ? 1253 ? TRUE dzyung.m4a 
307 302 914 1549 2036 FALSE kien.m4a 938
308 303 937 1575 2052 FALSE khien.m4a 
309 304 915 1547 2068 TRUE hhien.m4a 
310 305 932 1548 2069 FALSE jien.m4a 
311 306 945 1556 2043 FALSE qien.m4a 
312 307 917 1555 2063 FALSE kyuen.m4a 941
313 308 935 1571 2053 TRUE dryuen.m4a 1574
314 309 918 1550 2044 TRUE hhyuen.m4a 
315 310 936 1546 2061 FALSE lyuen.m4a 
316 311 943 1559 2059 FALSE qyuen.m4a 
317 312 ? ? 2049 FALSE zhien.m4a 
318 313 ? 1540 ? TRUE szien.m4a 
319 314 ? 1565 2070 FALSE shien.m4a 
320 315 925 1568 2072 TRUE szhien.m4a 
321 316 930 1567 2067 FALSE tcien.m4a 
322 317 ? 1573 2065 TRUE drien.m4a 318
323 319 924 1566 2064 FALSE tchien.m4a 
324 320 913 1552 2074 FALSE hien.m4a 
325 321 939 1577 2038 TRUE gien.m4a 2048
326 322 907 1578 2039 TRUE bien.m4a 
327 323 922 1562 2051 FALSE syuen.m4a 
328 324 ? 1563 ? FALSE tshyuen.m4a 
329 325 ? ? ? FALSE tzyuen.m4a 
330 326 ? 1564 ? TRUE szyuen.m4a 
331 327 923 ? 2054 TRUE dzyuen.m4a 
332 328 926 1570 2060 FALSE tchyuen.m4a 
333 329 927 1569 2046 FALSE tcyuen.m4a 
334 330 928 1572 2062 FALSE zhyuen.m4a 
335 331 944 1557 2045 FALSE hyuen.m4a 
336 332 942 1551 2042 FALSE jyuen.m4a 
337 333 916 1553 2037 FALSE khyuen.m4a 
338 334 940 1576 2066 TRUE gyuen.m4a 
339 335 946 1580  FALSE siew.m4a 
340 336 ? 1581  FALSE tiew.m4a 
341 337 949 1582  FALSE thiew.m4a 
342 338 951 1583  TRUE diew.m4a 
343 339 950 1584  FALSE liew.m4a 
344 340 953 1588  FALSE kiew.m4a 
345 341 952 1589  FALSE qiew.m4a 
346 342 ? 1587  FALSE khiew.m4a 
347 343 959 1590  FALSE tshiew.m4a 
348 344 947 1591  FALSE tziew.m4a 
349 345 ? 1592  TRUE dziew.m4a 
350 346 962 1603  FALSE piew.m4a 
351 347 963 1599  FALSE phiew.m4a 
352 348 964 1600  TRUE biew.m4a 
353 349 965 1601  FALSE miew.m4a 
354 350 960 1593  FALSE shiew.m4a 
355 351 ? ?  FALSE tchiew.m4a 
356 352 954 1594  FALSE tciew.m4a 
357 353 956 1595  TRUE szhiew.m4a 
358 354 957 ?  FALSE zhiew.m4a 
359 355 958 1596  TRUE driew.m4a 
360 356 ? 1597  FALSE jiew.m4a 
361 357 955 1598  TRUE giew.m4a 
362 358 961 1602  FALSE hiew.m4a 
363 359 977 1604  TRUE hhiaw.m4a 
364 360 967 1607  FALSE kiaw.m4a 340
365 360 967 1607  FALSE kiaw.m4a 953
366 360 967 1607  FALSE kiaw.m4a 1588
367 361 966 1606  FALSE khiaw.m4a 342
368 361 966 1606  FALSE khiaw.m4a 1587
369 362 ? 1605  FALSE hiaw.m4a 358
370 362 ? 1605  FALSE hiaw.m4a 961
371 362 ? 1605  FALSE hiaw.m4a 1602
372 363 975 1611  FALSE qiaw.m4a 341
373 363 975 1611  FALSE qiaw.m4a 952
374 363 975 1611  FALSE qiaw.m4a 1589
375 364 968 1609  FALSE paw.m4a 378
376 364 968 1609  FALSE paw.m4a 983
377 365 ? 1610  FALSE phaw.m4a 
378 366 969 1627  TRUE baw.m4a 984
379 367 970 1612  FALSE maw.m4a 1613
380 367 970 1612  FALSE maw.m4a 2277
381 368 971 1614  FALSE shaw.m4a 
382 369 972 1615  FALSE tchaw.m4a 1617
383 370 ? 1618  TRUE draw.m4a 
384 371 973 1616  FALSE tcaw.m4a 1620
385 372 974 1619  FALSE naw.m4a 387
386 372 974 1619  FALSE naw.m4a 993
387 372 974 1619  FALSE naw.m4a 1635
388 373 978 1621  TRUE hhaw.m4a 
389 374 979 1622  FALSE haw.m4a 
390 375 981 1624  FALSE kaw.m4a 
391 376 982 1625  FALSE qaw.m4a 
392 377 ? 1626  FALSE ngaw.m4a 
393 379 985 1628  FALSE saw.m4a 
394 380 986 1629  FALSE tshaw.m4a 
395 381 987 1630  FALSE tzaw.m4a 
396 382 988 1631  TRUE dzaw.m4a 
397 383 989 1632  FALSE taw.m4a 
398 384 990 2272  FALSE thaw.m4a 
